PublicID,V3J_PublicID,V3J_Complete,V3J_Status,V3JVer,V3JDATE_INT,V3JA01a,V3JA01b,V3JA01c,V3JA01d,V3JA01e,V3JA01f,V3JA01g,V3JA01h,V3JA01i,V3JA01j,V3JA02a,V3JA02b,V3JA02c,V3JA02d,V3JA02e,V3JA02f,V3JA02g,V3JA02h,V3JA02i,V3JA02j
00220I,00220I,Complete,Passed,2,-81,4,3,3,2,3,4,4,3,3,4,2,2,1,2,2,1,2,1,1,1
00222E,00222E,Complete,Passed,2,-118,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,2,1,1,1
00224A,00224A,Complete,Passed,2,-94,4,4,4,4,3,3,2,1,3,3,2,2,2,2,2,3,3,2,2,2
00225V,00225V,Complete,Passed,2,-100,4,3,3,4,4,3,4,3,4,4,2,2,2,1,1,2,2,1,2,2
00227R,00227R,Complete,Passed,2,-80,4,4,4,4,4,4,4,4,4,4,3,1,2,2,2,1,2,2,1,1
00231D,00231D,Complete,Passed,2,-83,4,4,2,4,4,4,4,4,4,4,3,2,2,3,4,4,3,2,2,2
00235S,00235S,Complete,Passed,2,-86,4,2,3,4,3,2,3,2,4,2,2,2,2,2,1,2,3,1,2,1
00236Q,00236Q,Complete,Passed,2,-76,4,4,4,4,4,2,3,2,4,4,1,1,1,2,1,1,1,1,1,1
00237O,00237O,Complete,Passed,2,-87,4,3,2,2,3,4,2,2,3,2,1,3,2,2,2,2,2,3,1,2
00238M,00238M,Complete,Passed,2,-89,4,4,3,4,4,2,4,4,4,2,1,1,2,1,2,1,2,2,1,1
00239K,00239K,Complete,Passed,2,-108,4,4,3,3,4,4,4,4,4,4,2,1,4,3,3,1,3,3,4,4
00240C,00240C,Complete,Passed,2,-83,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
00245P,00245P,Complete,Passed,2,-84,4,4,4,3,4,3,4,4,4,4,1,1,1,2,2,1,2,1,1,2
00248J,00248J,Complete,Passed,2,-101,4,4,4,4,3,3,3,2,4,2,1,3,3,2,3,2,2,2,2,3
00249H,00249H,Complete,Passed,2,-41,4,4,4,2,4,3,3,3,4,3,2,3,4,3,2,1,2,3,2,1
00250W,00250W,Complete,Passed,2,-89,3,4,3,4,4,3,4,3,4,4,2,2,2,2,2,2,2,2,1,2
00251U,00251U,Complete,Passed,2,-111,3,1,3,2,3,3,2,2,3,1,3,4,1,2,2,3,3,2,1,3
00252S,00252S,Complete,Passed,2,-80,4,3,3,4,4,3,3,3,4,3,2,1,1,1,1,2,1,1,1,1
00257I,00257I,Complete,Passed,2,-81,4,4,4,2,4,2,4,4,4,3,1,1,2,1,1,2,2,2,2,2
00259E,00259E,Complete,Passed,2,-81,3,3,3,4,3,3,3,3,4,4,1,1,2,1,1,2,2,1,1,1
00260T,00260T,Begin,,2,-103,,,,,,,,,,,,,,,,,,,,
00261R,00261R,Complete,Passed,2,-97,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1,2,2,1,1
00262P,00262P,Complete,Passed,2,-79,4,3,4,3,4,3,4,4,4,3,1,1,1,2,2,2,3,2,1,1
00265J,00265J,Complete,Passed,2,-87,4,4,4,2,4,4,4,4,4,4,2,2,1,1,2,2,2,1,1,1
00266H,00266H,Complete,Passed,2,-92,2,4,3,3,2,2,4,3,4,3,2,1,4,2,2,3,4,4,3,2
00267F,00267F,Complete,Passed,2,2,3,2,3,3,3,2,1,2,2,2,3,2,2,2,2,2,1,2,1,1
00269B,00269B,Complete,Passed,2,-82,4,4,4,4,4,4,3,3,4,3,1,1,1,1,2,3,2,2,1,1
00270Q,00270Q,Complete,Passed,2,-90,4,4,3,3,3,3,1,4,4,3,3,2,4,4,4,4,4,3,2,4
00272M,00272M,Complete,Passed,2,-108,3,3,2,3,4,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2
00273K,00273K,Complete,Passed,2,-78,4,4,4,4,4,4,3,3,4,4,1,1,1,2,2,1,2,1,1,1
00275G,00275G,Complete,Passed,2,-87,3,3,3,2,3,3,3,2,3,3,1,2,2,2,2,2,2,1,1,1
00276E,00276E,Complete,Passed,2,-79,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,2,1,1,1
00278A,00278A,Complete,Passed,2,-82,4,3,2,3,3,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3
00281L,00281L,Complete,Passed,2,-86,4,4,2,2,2,3,3,4,3,4,3,1,1,1,2,3,3,4,1,1
00283H,00283H,Complete,Passed,2,-112,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
00285D,00285D,Complete,Passed,2,-87,4,3,2,2,2,2,2,3,4,2,1,3,2,2,2,2,2,3,2,2
00286B,00286B,Complete,Passed,2,-72,3,4,2,3,3,3,2,2,2,1,3,1,4,2,3,3,3,3,4,1
