PublicID,V1G_PublicID,V1G_Complete,V1G_Status,V1GVer,V1GDATE_INT,V1GA01,V1GA02,V1GA03,V1GA04,V1GA05,V1GA06,V1GA07,V1GA08,V1GA09,V1GA10,V1GA11,V1GA12
14590S,14590S,Complete,Passed,2,-139,6,6,5,6,6,5,5,5,5,6,6,5
14591Q,14591Q,Complete,Passed,2,-184,7,7,7,7,7,6,6,7,7,7,6,7
14593M,14593M,Complete,Passed,2,-151,7,7,7,7,7,5,7,7,5,7,7,6
14595I,14595I,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14596G,14596G,Complete,Passed,2,-197,7,7,7,7,7,6,6,7,7,7,7,7
14597E,14597E,Complete,Passed,2,-191,3,2,6,4,2,4,4,4,4,3,5,4
14599A,14599A,Complete,Passed,2,-211,7,7,7,7,7,6,6,7,6,7,6,6
14600S,14600S,Complete,Passed,2,-189,7,7,7,7,7,6,6,6,6,7,6,6
14601Q,14601Q,Complete,Passed,2,-187,7,7,6,6,7,6,6,5,7,7,5,7
14605I,14605I,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
14607E,14607E,Complete,Passed,2,-202,7,6,7,6,7,6,7,7,4,7,6,4
14609A,14609A,Complete,Passed,2,-188,6,6,7,6,6,5,5,6,6,7,7,6
14610P,14610P,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14614H,14614H,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14618W,14618W,Complete,Passed,2,-171,7,7,7,7,7,7,7,7,7,7,7,7
14621K,14621K,Complete,Passed,2,-213,7,7,6,6,7,4,5,5,5,7,4,5
14622I,14622I,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
14623G,14623G,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
14624E,14624E,Complete,Passed,2,-185,7,7,7,7,7,6,6,6,6,7,6,6
14626A,14626A,Complete,Passed,2,-190,7,6,7,7,6,6,6,7,7,7,7,7
14629R,14629R,Complete,Reviewed,2,,7,7,7,6,6,6,7,6,7,6,7,7
14632F,14632F,Complete,Passed,2,-209,7,7,7,7,7,7,7,7,7,7,7,7
14633D,14633D,Complete,Passed,2,-184,7,7,7,6,6,7,7,7,7,7,7,7
14638Q,14638Q,Complete,Passed,2,-196,6,6,2,2,6,5,6,2,6,7,1,6
14639O,14639O,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
14641E,14641E,Complete,Passed,2,-210,7,7,7,7,7,7,7,7,7,7,7,7
14649L,14649L,Complete,Passed,2,-188,7,7,7,7,7,6,6,7,7,7,7,6
14650D,14650D,Complete,Passed,2,-216,7,7,7,7,7,7,5,7,6,7,7,5
14653U,14653U,Complete,Passed,2,-194,6,7,7,7,7,7,7,5,6,7,7,6
14655Q,14655Q,Complete,Passed,2,-178,5,5,4,6,6,5,4,5,5,5,6,6
14656O,14656O,Complete,Passed,2,-198,7,7,6,6,7,7,7,5,7,7,6,7
14658K,14658K,Complete,Passed,2,-201,7,7,6,5,7,6,7,4,6,7,6,7
14661V,14661V,Complete,Passed,2,-158,7,7,6,6,7,5,4,6,6,7,5,6
14663R,14663R,Complete,Passed,2,-146,7,6,7,6,4,4,2,6,2,5,7,4
14667J,14667J,Complete,Passed,2,-143,7,7,7,7,7,6,7,7,7,7,7,7
14673O,14673O,Complete,Passed,2,-146,7,7,6,6,7,7,7,6,7,7,6,7
14674M,14674M,Complete,Passed,2,-199,7,7,7,7,7,7,7,7,7,7,7,7
14676I,14676I,Complete,Passed,2,-183,7,7,5,5,7,5,5,7,5,7,5,5
14679C,14679C,Complete,Passed,2,-193,7,7,5,6,7,6,7,7,7,7,6,7
14687D,14687D,Complete,Passed,2,-185,7,7,6,7,7,7,7,7,7,7,7,7
14688B,14688B,Complete,Passed,2,-187,7,7,6,7,7,6,6,7,7,7,7,6
14692K,14692K,Complete,Passed,2,-202,7,7,5,5,7,4,5,3,5,7,3,6
14693I,14693I,Complete,Passed,2,-188,6,6,6,6,6,3,3,5,4,6,6,4
14694G,14694G,Complete,Passed,2,-131,7,7,1,3,7,6,6,1,7,7,4,7
14696C,14696C,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
14700O,14700O,Complete,Passed,2,-194,7,7,1,2,6,1,1,1,1,7,1,1
14701M,14701M,Complete,Passed,2,-177,6,7,5,6,6,5,5,5,5,7,5,5
14702K,14702K,Complete,Passed,2,-213,7,7,7,7,7,6,6,6,6,7,7,7
14703I,14703I,Complete,Passed,2,-192,4,4,3,3,4,4,4,4,5,6,4,6
14706C,14706C,Complete,Passed,2,-191,7,7,4,3,7,6,6,2,7,7,2,7
14708V,14708V,Complete,Passed,2,-210,7,7,7,7,6,7,7,4,7,7,7,4
14709T,14709T,Complete,Passed,2,-188,7,4,7,7,2,6,6,7,7,4,7,6
14710L,14710L,Complete,Passed,2,-221,7,7,6,6,7,4,4,6,5,7,5,5
14713F,14713F,Complete,Passed,2,-197,6,7,5,5,6,5,4,6,5,6,6,4
14721G,14721G,Complete,Passed,2,-152,5,6,5,6,5,4,4,5,5,6,6,5
14723C,14723C,Complete,Passed,2,-187,7,6,7,7,6,5,5,6,6,7,6,6
14724A,14724A,Complete,Passed,2,-130,7,7,7,6,7,6,5,6,5,7,5,5
14725V,14725V,Complete,Passed,2,-221,7,7,7,7,7,7,7,7,7,7,7,7
14727R,14727R,Complete,Passed,2,-212,7,7,7,7,7,7,7,7,7,7,7,7
14728P,14728P,Complete,Passed,2,-184,7,7,6,6,6,4,4,4,4,7,7,5
14729N,14729N,Complete,Passed,2,-186,6,7,6,6,7,5,5,7,5,7,6,5
14732B,14732B,Complete,Passed,2,-186,7,7,7,7,7,4,7,7,7,7,7,7
14733W,14733W,Complete,Passed,2,-171,7,7,7,7,7,7,7,7,7,7,7,7
14734U,14734U,Complete,Passed,2,-220,7,7,7,7,7,7,7,7,7,7,7,7
14738M,14738M,Complete,Passed,2,-210,7,7,4,5,7,3,3,4,1,7,3,3
14739K,14739K,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
14741A,14741A,Complete,Passed,2,-195,6,5,5,7,5,5,6,6,7,7,5,6
14743T,14743T,Complete,Passed,2,-197,7,7,6,6,5,7,7,5,7,5,4,6
14744R,14744R,Complete,Passed,2,-186,7,7,7,7,7,6,6,7,6,7,7,5
14745P,14745P,Complete,Passed,2,-146,7,7,7,7,7,7,7,7,7,7,7,7
14746N,14746N,Complete,Passed,2,-225,1,1,1,1,1,1,1,1,1,1,1,1
14747L,14747L,Complete,Passed,2,-201,7,7,7,7,7,7,7,7,7,7,7,7
14749H,14749H,Complete,Passed,2,-203,3,3,6,6,3,5,4,5,4,4,5,4
14750W,14750W,Complete,Passed,2,-209,7,7,7,7,7,7,7,7,7,7,7,7
14751U,14751U,Complete,Passed,2,-149,7,7,7,7,7,6,6,7,6,7,7,6
14752S,14752S,Complete,Passed,2,-185,7,7,6,6,7,6,6,6,6,7,6,5
14753Q,14753Q,Complete,Passed,2,-180,7,7,7,7,7,5,5,6,6,7,7,6
14760T,14760T,Complete,Passed,2,-213,7,7,7,7,7,7,7,7,7,7,7,7
14761R,14761R,Complete,Passed,2,-185,7,7,7,7,6,4,4,7,5,6,7,3
14762P,14762P,Complete,Passed,2,-205,6,6,7,7,7,7,7,7,7,7,7,7
14763N,14763N,Complete,Passed,2,-186,7,7,7,7,7,7,7,7,7,7,7,7
14764L,14764L,Complete,Passed,2,-184,5,5,4,4,4,5,5,5,6,6,6,6
14768D,14768D,Complete,Passed,2,-205,7,7,7,7,7,6,5,5,6,7,7,5
14770Q,14770Q,Complete,Passed,2,-193,7,7,7,7,7,6,6,6,6,7,7,6
14771O,14771O,Complete,Passed,2,-183,7,7,7,7,7,5,5,6,6,7,7,7
14772M,14772M,Complete,Passed,2,-180,7,7,7,7,7,6,6,6,6,7,6,6
14774I,14774I,Complete,Passed,2,-188,6,6,6,6,6,6,6,6,6,6,6,6
14775G,14775G,Complete,Passed,2,-165,7,7,7,7,7,6,6,7,6,7,6,6
14778A,14778A,Complete,Passed,2,-131,7,7,7,7,7,7,7,7,7,7,7,7
14784F,14784F,Complete,Passed,2,-156,2,2,7,7,4,6,5,7,6,2,6,6
14785D,14785D,Complete,Passed,2,-178,7,7,7,7,7,7,7,7,7,7,6,7
14789S,14789S,Complete,Passed,2,-192,1,1,1,1,1,1,1,1,1,1,1,1
14792G,14792G,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
14793E,14793E,Complete,Passed,2,-185,6,7,7,7,7,5,6,7,7,7,7,7
14794C,14794C,Complete,Passed,2,-139,6,6,7,7,7,5,6,7,7,7,7,7
14796V,14796V,Complete,Passed,2,-221,6,7,7,7,7,6,6,7,6,7,6,7
14797T,14797T,Complete,Passed,2,-195,7,7,6,6,7,4,3,5,5,7,6,5
14798R,14798R,Complete,Passed,2,-192,7,7,7,5,6,6,6,5,6,7,7,6
14802G,14802G,Complete,Passed,2,-216,6,7,6,7,7,7,7,6,7,7,6,6
14804C,14804C,Complete,Passed,2,-195,7,7,6,6,7,6,6,6,6,7,7,6
14805A,14805A,Complete,Passed,2,-207,7,7,6,6,7,6,6,6,6,7,6,5
14809P,14809P,Complete,Passed,2,-201,7,7,7,7,7,7,6,7,7,7,7,7
